16:02:30.844 [main] ERROR o.s.boot.SpringApplication - Application run failed
java.lang.IllegalStateException: java.io.FileNotFoundException: E:\IdeaProjects\smart_dormitory_repair\logback.xml (系统找不到指定的文件。)
	at org.springframework.boot.context.logging.LoggingApplicationListener.initializeSystem(LoggingApplicationListener.java:324)
	at org.springframework.boot.context.logging.LoggingApplicationListener.initialize(LoggingApplicationListener.java:288)
	at org.springframework.boot.context.logging.LoggingApplicationListener.onApplicationEnvironmentPreparedEvent(LoggingApplicationListener.java:246)
	at org.springframework.boot.context.logging.LoggingApplicationListener.onApplicationEvent(LoggingApplicationListener.java:223)
	at org.springframework.context.event.SimpleApplicationEventMulticaster.doInvokeListener(SimpleApplicationEventMulticaster.java:172)
	at org.springframework.context.event.SimpleApplicationEventMulticaster.invokeListener(SimpleApplicationEventMulticaster.java:165)
	at org.springframework.context.event.SimpleApplicationEventMulticaster.multicastEvent(SimpleApplicationEventMulticaster.java:139)
	at org.springframework.context.event.SimpleApplicationEventMulticaster.multicastEvent(SimpleApplicationEventMulticaster.java:127)
	at org.springframework.boot.context.event.EventPublishingRunListener.environmentPrepared(EventPublishingRunListener.java:76)
	at org.springframework.boot.SpringApplicationRunListeners.environmentPrepared(SpringApplicationRunListeners.java:53)
	at org.springframework.boot.SpringApplication.prepareEnvironment(SpringApplication.java:345)
	at org.springframework.boot.SpringApplication.run(SpringApplication.java:308)
	at org.springframework.boot.SpringApplication.run(SpringApplication.java:1226)
	at org.springframework.boot.SpringApplication.run(SpringApplication.java:1215)
	at com.timecarol.smart_dormitory_repair.SmartDormitoryRepairApplication.main(SmartDormitoryRepairApplication.java:12)
Caused by: java.io.FileNotFoundException: E:\IdeaProjects\smart_dormitory_repair\logback.xml (系统找不到指定的文件。)
	at java.io.FileInputStream.open0(Native Method)
	at java.io.FileInputStream.open(FileInputStream.java:195)
	at java.io.FileInputStream.<init>(FileInputStream.java:138)
	at java.io.FileInputStream.<init>(FileInputStream.java:93)
	at sun.net.www.protocol.file.FileURLConnection.connect(FileURLConnection.java:90)
	at sun.net.www.protocol.file.FileURLConnection.getInputStream(FileURLConnection.java:188)
	at java.net.URL.openStream(URL.java:1067)
	at org.springframework.boot.context.logging.LoggingApplicationListener.initializeSystem(LoggingApplicationListener.java:317)
	... 14 common frames omitted
16:02:49.360 [main] INFO  c.t.s.SmartDormitoryRepairApplication - Starting SmartDormitoryRepairApplication on DESKTOP-I1M4IDV with PID 16940 (E:\IdeaProjects\smart_dormitory_repair\target\classes started by 18417 in E:\IdeaProjects\smart_dormitory_repair)
16:21:36.729 [main] INFO  c.t.s.SmartDormitoryRepairApplication - Started SmartDormitoryRepairApplication in 2.951 seconds (JVM running for 3.979)
16:21:55.385 [main] INFO  c.t.s.SmartDormitoryRepairApplication - Starting SmartDormitoryRepairApplication on DESKTOP-I1M4IDV with PID 9252 (E:\IdeaProjects\smart_dormitory_repair\target\classes started by 18417 in E:\IdeaProjects\smart_dormitory_repair)
16:21:55.388 [main] INFO  c.t.s.SmartDormitoryRepairApplication - No active profile set, falling back to default profiles: default
16:21:56.130 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.timecarol.smart_dormitory_repair.mapper]' package. Please check your configuration.
16:21:56.248 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
16:21:56.422 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8086 (http)
16:21:56.428 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8086"]
16:21:56.428 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
16:21:56.428 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
16:21:56.429 [main] INFO  o.a.c.core.AprLifecycleListener - Loaded APR based Apache Tomcat Native library [1.2.30] using APR version [1.7.0].
16:21:56.430 [main] INFO  o.a.c.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
16:21:56.430 [main] INFO  o.a.c.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
16:21:56.433 [main] INFO  o.a.c.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1k  25 Mar 2021]
16:21:56.499 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
16:21:56.500 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1052 ms
16:21:56.743 [main] INFO  c.t.s.config.ExecutorServiceConfig - 初始化线程池, 核心线程数量: 8, 最大线程数量: 16, 允许线程空闲时间: 60, 缓冲队列大小: 200
16:21:56.758 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
16:21:57.809 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
16:21:57.820 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
16:21:57.848 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
16:21:57.936 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8086"]
16:21:57.958 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8086 (http) with context path ''
16:21:57.961 [main] INFO  c.t.s.SmartDormitoryRepairApplication - Started SmartDormitoryRepairApplication in 2.888 seconds (JVM running for 3.937)
16:27:29.178 [main] INFO  c.t.s.SmartDormitoryRepairApplication - Starting SmartDormitoryRepairApplication on DESKTOP-I1M4IDV with PID 17456 (E:\IdeaProjects\smart_dormitory_repair\target\classes started by 18417 in E:\IdeaProjects\smart_dormitory_repair)
16:27:29.181 [main] INFO  c.t.s.SmartDormitoryRepairApplication - No active profile set, falling back to default profiles: default
16:27:29.976 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.timecarol.smart_dormitory_repair.mapper]' package. Please check your configuration.
16:27:30.109 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
16:27:30.285 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8086 (http)
16:27:30.291 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8086"]
16:27:30.292 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
16:27:30.292 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
16:27:30.294 [main] INFO  o.a.c.core.AprLifecycleListener - Loaded APR based Apache Tomcat Native library [1.2.30] using APR version [1.7.0].
16:27:30.294 [main] INFO  o.a.c.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
16:27:30.294 [main] INFO  o.a.c.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
16:27:30.297 [main] INFO  o.a.c.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1k  25 Mar 2021]
16:27:30.363 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
16:27:30.363 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1141 ms
16:27:30.606 [main] INFO  c.t.s.config.ExecutorServiceConfig - 初始化线程池, 核心线程数量: 8, 最大线程数量: 16, 允许线程空闲时间: 60, 缓冲队列大小: 200
16:27:30.620 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
16:27:31.757 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
16:27:31.770 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
16:27:31.803 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
16:27:31.908 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8086"]
16:27:31.929 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8086 (http) with context path ''
16:27:31.931 [main] INFO  c.t.s.SmartDormitoryRepairApplication - Started SmartDormitoryRepairApplication in 3.11 seconds (JVM running for 4.219)
16:28:03.515 [main] INFO  c.t.s.SmartDormitoryRepairApplication - Starting SmartDormitoryRepairApplication on DESKTOP-I1M4IDV with PID 23060 (E:\IdeaProjects\smart_dormitory_repair\target\classes started by 18417 in E:\IdeaProjects\smart_dormitory_repair)
16:28:03.517 [main] INFO  c.t.s.SmartDormitoryRepairApplication - No active profile set, falling back to default profiles: default
16:28:04.291 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.timecarol.smart_dormitory_repair.mapper]' package. Please check your configuration.
16:28:04.409 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
16:28:04.586 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8086 (http)
